RU,EN,type,misc
Вакх {м},Bacchus,noun,[myth.] 
Валлония {ж},Wallonia,noun,[geogr.] 
Валькирия {ж},Valkyrie,noun,[myth.] 
Ванкувер {м},(City of) Vancouver,noun,[geogr.] 
Вануату {с} [нескл.],Vanuatu <.vu>,noun,[geogr.] 
Варфоломеевская ночь {ж},Massacre of St. Bartholomew,noun,[hist.] 
Варшава {ж},Warsaw,noun,[geogr.] 
Василий {м},Basil,noun,[name] 
Ватикан {м},Vatican,noun,[geogr.] [relig.] 
Ваше высочество,Your highness,,
Везувий {м},Mount Vesuvius,noun,[geogr.] 
Великая суббота {ж},Holy Saturday,noun,[relig.] 
Великие озёра {мн},Great Lakes,noun,[geogr.] 
Великий пост {м},Lent,noun,[relig.] 
Великобритания {ж},Great Britain <GB>,noun,[geogr.] 
Великолепно!,Magnificent!,,
Веллингтон {м},Wellington,noun,[geogr.] 
Вена {ж},Vienna,noun,[geogr.] 
Венгрия {ж},Hungary <.hu>,noun,
Венера {ж} <♀> [планета],Venus <♀> [planet],noun,[astron.] 
Венесуэла {ж},Venezuela,noun,[geogr.] 
Венецианский залив {м},Gulf of Venice,noun,[geogr.] 
Венецианский купец [Уильям Шекспир],The Merchant of Venice [William Shakespeare],,[F] [lit.] [theatre] 
Венеция {ж},Venice,noun,[geogr.] 
Вениамин {м},Benjamin,noun,[name] 
Вермонт {м} [штат США],Vermont <VT> [Green Mountain State],noun,[geogr.] 
"Вернись, моя любовь [Делберт Манн]",Lover Come Back [Delbert Mann],,[F] [film] 
Верона {ж},Verona,noun,[geogr.] 
Верони́ка {ж},Veronica,noun,[name] 
Верхний Рейн {м} [часть Рейна],Upper Rhine,noun,[geogr.] 
Верхняя Саксония {ж},Upper Saxony,noun,[geogr.] 
Верхняя Силезия {ж},Upper Silesia,noun,[geogr.] [hist.] 
Верхняя Франкония {ж},Upper Franconia [Bavarian region],noun,[geogr.] 
Веселого Хэллоуина!,Happy Halloween!,,
Весенний снег [Юкио Мисима],Spring Snow [Yukio Mishima],,[F] [lit.] 
Веста {ж},Vesta,noun,[myth.] 
Вестминстерское аббатство {с},Westminster Abbey,noun,[relig.] 
Вестфалия {ж},Westphalia,noun,[geogr.] 
Вестфальский мир {м},Treaty of Westphalia [1648],noun,[hist.] 
Весы {мн} [созвездие и знак зодиака],Libra,noun,[astron.] 
Ветер и лев [Джон Милиус],The Wind and the Lion [John Milius],,[F] [film] 
Ветхий Завет {м},Old Testament <OT>,noun,[relig.] 
Вечер шутов [Ингмар Бергман],Sawdust and Tinsel [Ingmar Bergman],,[F] [film] 
Вечный жид {м},the Wandering Jew,noun,[lit.] [myth.] 
Византий {м},Byzantium,noun,[hist.] 
Византия {ж},Byzantium,noun,[hist.] 
Викинги [Ховард Маккейн],Outlander [Howard McCain],,[F] [film] 
Вильнюс {м},Vilnius [capital of Lithuania],noun,[geogr.] 
Винсент и Тео [Роберт Олтмен],Vincent & Theo [Robert Altman],,[F] [film] 
Висбаден {м},Wiesbaden,noun,[geogr.] 
Висла {ж},Vistula (River),noun,[geogr.] 
Витебск {м},Vitebsk [also: Viciebsk],noun,[geogr.] 
Вифлеем {м},Bethlehem,noun,[geogr.] 
Вифлеемская звезда {ж},Star of Bethlehem,noun,[bibl.] 
В какую сторону?,Which way?,,
Владивосток {м},Vladivostok,noun,[geogr.] 
Вогезы {мн},Vosges mountains,noun,[geogr.] 
Вогезы {мн},Vosges,noun,[geogr.] 
Водолей {м} [созвездие и знак зодиака],Aquarius,noun,[astron.] 
Возвращение блудного сына [Рембрандт],The Return of the Prodigal Son [Rembrandt],,[F] [art] 
Воздвижение {с} (Честного и Животворящего) Креста Господня,Exaltation of the Holy Cross,noun,[relig.] 
Вознесение {с} Господне,Ascension of the Lord,noun,[relig.] 
Воистину воскресе!,"Truly, He is risen! [response to Easter greeting]",,[relig.] 
Волга {ж},Volga,noun,[geogr.] 
Волгоград {м},Volgograd,noun,[geogr.] 
Волшебная флейта [Вольфганг Амадей Моцарт],The Magic Flute [Wolfgang Amadeus Mozart],,[F] [mus.] 
Вонифатий {м},Boniface,noun,[name] 
Вон отсюда! [разг.],Get out! [coll.],,[idiom] 
Вон отсюда! [разг.],Go away! [coll.],,[idiom] 
Вооружённые Силы {мн} Российской Федерации <ВСРФ>,Armed Forces of the Russian Federation,noun,[mil.] 
Вормс {м},Worms,noun,[geogr.] 
Воспитатели [Ханс Вайнгартнер],The Edukators [Hans Weingartner],,[F] [film] 
Восточная Бавария {ж},Eastern Bavaria,noun,[geogr.] 
Восточно-Китайское море {с},East China Sea,noun,[geogr.] 
Восточно-Сибирское море {с},East Siberian Sea,noun,[geogr.] 
"Восходящее солнце [роман: Майкл Крайтон, фильм: Филип Кауфман]","Rising Sun [novel: Michael Crichton, film: Philip Kaufman]",,[F] [lit.] [film] 
"Вот, пожалуйста!",Here you are!,,
"Вот, пожалуйста!",Here you go! [coll.],,
Вот ваша / твоя книга.,Here is your book.,,
В поисках утраченного времени [Марсель Пруст],In Search of Lost Time / Remembrance of Things Past [Marcel Proust],,[F] [lit.] 
Врата судьбы [Агата Кристи],Postern of Fate [Agatha Christie],,[F] [lit.] 
Время - деньги.,Time is money!,,[proverb] 
Вроцлав {м},Wroclaw,noun,[geogr.] 
Всего хорошего!,Good luck!,,
Всемирное наследие {с} ЮНЕСКО,UNESCO World Heritage,noun,[UWH] 
Всё будет хорошо.,Everything / Things will fall into place.,,[idiom] 
Всё о Еве [Джозеф Лео Манкевич],All About Eve [Joseph L. Mankiewicz],,[F] [film] 
"Всё хорошо, что хорошо кончается.",All's well that ends well.,,[proverb] 
В тихом омуте черти водятся.,Still waters run deep.,,[proverb] 
Вторая Пуническая война {ж},Second Punic War,noun,[hist.] 
Вторая мировая война {ж},Second World War,noun,[hist.] 
Вуллонгонг {м},Wollongong,noun,[geogr.] 
В чужой монастырь со своим уставом не ходят.,"When in Rome, do as the Romans do.",,[proverb] 
В чём дело?,What is the matter?,,
В чём же тут загвоздка? [разг.],What's the catch?,,
Вы,you [formal or respectful mode of address to one person],pron,
Вы не могли бы мне помочь?,Could you help me?,,
Высокий Атла́с {м},High Atlas,noun,[geogr.] 
Вьетнам {м},Vietnam <.vn>,noun,[geogr.] 
В этом доме обитают привидения.,The house is haunted.,,
В этом есть смысл.,It makes sense.,,
Вюрцбург {м},Würzburg,noun,[geogr.] 
ГУЛАГ {м} [главное управление лагерей],Gulag [also: gulag],noun,[hist.] 
Гаага {ж},The Hague,noun,[geogr.] 
Габсбурги {мн},Hapsburgs,noun,[hist.] 
Гавайи {мн},Hawaii <HI> [Aloha State],noun,[geogr.] 
Гавана {ж},Havana,noun,[geogr.] 
Гавриил {м},Gabriel,noun,[name] 
Гай Юлий Цезарь {м},Gaius Julius Caesar,noun,[hist.] [lit.] [pol.] 
Гайана {ж},Guyana,noun,[geogr.] 
Галапагосские острова {мн},Galapagos Islands,noun,[geogr.] 
Галатия {ж},Galatia,noun,[geogr.] [hist.] 
Галилея {ж},Galilee,noun,[bibl.] [geogr.] 
Галифакс {м} [столица канадской провинции Новая Шотландия],Halifax,noun,[geogr.] 
Галиция {ж},Galicia [in Southeast Poland and West Ukraine],noun,[geogr.] 
Галлия {ж},Gaul,noun,[geogr.] [hist.] 
Гамбия {ж},The Gambia <.gm>,noun,[geogr.] 
Гамбург {м},Hamburg,noun,[geogr.] 
Гана {ж},Ghana <.gh>,noun,[geogr.] 
Ганновер {м},Hanover,noun,[geogr.] 
Гарлем {м},Harlem [New York] [previously: Haarlem],noun,[geogr.] 
Гармония {ж},Harmonia,noun,[myth.] 
Гарри Поттер и Кубок огня [Джоан К. Роулинг],Harry Potter and the Goblet of Fire [Joanne K. Rowling],,[F] [lit.] 
Гарри Поттер и Орден Феникса [Дж. К. Роулинг],Harry Potter and the Order of the Phoenix [J. K. Rowling],,[F] [lit.] 
Гарри Поттер и Тайная комната [Дж. К. Роулинг],Harry Potter and the Chamber of Secrets [Joanne K. Rowling],,[F] [lit.] 
Гарри Поттер и принц-полукровка [Дж. К. Роулинг],Harry Potter and the Half-Blood Prince [Joanne K. Rowling],,[F] [lit.] 
Гарри Поттер и узник Азкабана [Дж. К. Роулинг],Harry Potter and the Prisoner of Azkaban [Joanne K. Rowling],,[F] [lit.] 
Гарри Поттер и философский камень [Дж. К. Роулинг],Harry Potter and the Philosopher's Stone [Joanne K. Rowling],,[F] [lit.] 
Гасконь {ж},Gascony,noun,[geogr.] 
Гвадалахара {ж},Guadalajara,noun,[geogr.] 
Гваделупа {ж},Guadeloupe <.gp>,noun,[geogr.] 
Гватемала {ж},Guatemala <.gt>,noun,[geogr.] 
Гвинейский залив {м},Gulf of Guinea,noun,[geogr.] 
Гданьск {м},Gdansk,noun,[geogr.] 
Где?,Where?,,
Где Вы родились?,Where were you born? [formal],,
Где ты?,Where are you?,,
Гедиминовичи {мн},Gediminids,noun,[hist.] 
Гекатей {м} Милетский,Hecataeus of Miletus,noun,[geogr.] [hist.] [lit.] 
Гекатей {м} из Милета,Hecataeus of Miletus,noun,[geogr.] [hist.] [lit.] 
Гелиос {м},Helios,noun,[myth.] 
Гелла {ж},Helle,noun,[myth.] 
Геллеспонт {м},Hellespont,noun,[geogr.] 
Гельголанд {м},Heligoland,noun,[geogr.] 
Генрих {м},Henry,noun,[name] 
Гент {м},Ghent,noun,[geogr.] 
Генуя {ж},Genoa,noun,[geogr.] 
Гера {ж},Hera,noun,[myth.] 
Геракл {м},Heracles,noun,[myth.] 
Герас {м},Geras,noun,[myth.] 
Геркулес {м},Hercules,noun,[myth.] 
Германия {ж},Germany <.de>,noun,[geogr.] 
Германская империя {ж} [1871-1918],German Empire,noun,[hist.] 
Гермафродит {м},Hermaphroditus,noun,[myth.] 
Гермес {м},Hermes,noun,[myth.] [relig.] 
Гермиона {ж},Hermione,noun,[myth.] 
Геродот {м},Herodotus,noun,[hist.] 
Герса {ж},Herse,noun,[myth.] 
Гесиона {ж},Hesione,noun,[myth.] 
Геспер {м},Hesperus,noun,[myth.] 
Геспериды {мн},Hesperides,noun,[myth.] 
Гессен {м},Hesse,noun,[geogr.] 
Гестия {ж},Hestia,noun,[myth.] [relig.] 
Гефест {м},Hephaestus,noun,[myth.] 
Гея {ж},Gaia,noun,[myth.] 
Гиацинт {м},Hyacinth,noun,[myth.] 
Гибралтарский пролив {ж},Strait of Gibraltar,noun,[geogr.] 
Гималаи {мн},the Himalaya,noun,[geogr.] 
Гиндукуш {м},Hindu Kush,noun,[geogr.] 
Гиперион {м},Hyperion,noun,[myth.] 
Гипнос {м},Hypnos,noun,[myth.] 
Гипсипила {ж},Hypsipyle,noun,[myth.] 
Главк {м} (Морской),Glaucus,noun,[myth.] 
Главк {м} Понтийский,Glaucus,noun,[myth.] 
Глазго {м} [нескл.],Glasgow,noun,[geogr.] 
Глупость мертвеца [Агата Кристи],Dead Man's Folly [Agatha Christie],,[F] [lit.] 
Голиаф {м},Goliath,noun,[bibl.] 
Голливуд {м},Hollywood,noun,[geogr.] [film] 
Голод не тётка.,Needs must when the devil drives.,,[proverb] 
Голубой экспресс [Илья Захарович Трауберг],The Blue Express [also: China Express] [Ilya Zakharovich Trauberg],,[F] [film] 
Голь на выдумки хитра.,Necessity is the mother of invention.,,[proverb] 
Гольфстрим {м},Gulf Stream,noun,[geogr.] 
Гольштейнская Швейцария {ж},Holstein Switzerland,noun,[geogr.] [TrVocab.] 
Гомер {м} [древнегреческий поэт],Homer [ancient Greek poet],noun,[hist.] [lit.] 
